Iteration,Num cells over 50
1,22833720
2,42959826
3,60399612
4,75156354
5,87230052
6,96620706
7,103328316
8,107352882
9,107352882
10,108694404
11,108694404
12,108694404
13,108694404
14,108694404
15,108694404
16,108694404
17,108694404
18,108694404
19,108694404
20,108694404
21,108694404
22,108694404
23,108694404
24,108694404
25,108694404
26,108694404
27,108694404
28,108694404
29,108694404
30,108694404
31,108694404
32,108694404
33,108694404
34,108694404
35,108694404
36,108694404
37,108694404
38,108694404
39,108694404
40,108694404
41,108694404
42,108694404
43,108694404
44,108694404
45,108694404
46,108694404
47,108694404
48,108694404
49,108694404
50,108694404
51,108694404
52,108694404
53,108694404
54,108694404
55,108694404
56,108694404
57,108694404
58,108694404
59,108694404
60,108694404
61,108694404
62,108694404
63,108694404
64,108694404
65,108694404
66,108694404
67,108694404
68,108694404
69,108694404
70,108694404
71,108694404
72,108694404
73,108694404
74,108694404
75,108694404
76,108694404
77,108694404
78,108694404
79,108694404
80,108694404
81,108694404
82,108694404
83,108694404
84,108694404
85,108694404
86,108694404
87,108694404
88,108694404
89,108694404
90,108694404
91,108694404
92,108694404
93,108694404
94,108694404
95,108694404
96,108694404
97,108694404
